0	0	0	0	0	1000	0	2000	0	4000	0	2000
1	2817	1	3019	256	1000	240	2000	230	4000	35	2000
4	65	5	9								
4	119	5	79								
4	369	5	455								
4	3148	6	1478								
12	26	22	2014								
12	32	34	2014								
12	46										
12	101										
12	139										
12	168										
14	259										
14	421										
15	713										
17	1225										
18	1685										
20	28										
20	34										
20	94										
20	131										
20	169										
21	340										
22	608										
22	734										
29	27										
29	162										
29	358										
29	620										
31	765										
37	28										
37	36										
37	50										
37	114										
37	208										
37	262										
38	411										
46	65										
46	94										
46	131										
46	199										
47	515										
55	100										
55	209										
55	311										
55	556										
57	713										
63	33										
63	42										
63	82										
63	120										
63	174										
63	299										
65	405										
66	495										
71	26										
71	32										
71	39										
71	47										
71	92										
72	114										
72	516										
80	26										
80	33										
80	47										
80	92										
80	129										
80	288										
80	560										
88	109										
88	218										
89	447										
89	1255										
96	32										
96	39										
96	47										
96	142										
96	333										
97	405										
100	548										
103	907										
104	28										
104	34										
104	41										
104	113										
106	145										
106	216										
106	392										
111	471										
113	35										
113	1622										
122	37										
122	45										
122	55										
122	100										
122	537										
122	939										
125	1153										
130	67										
130	121										
130	319										
130	740										
132	1526										
138	67										
138	82										
138	108										
138	170										
138	287										
139	619										
146	64										
146	83										
147	214										
147	325										
148	447										
149	1058										
155	67										
155	123										
155	159										
155	218										
155	296										
155	407										
157	860										
163	47										
163	67										
163	86										
163	148										
163	188										
163	308										
164	465										
166	585										
166	706										
171	29										
171	37										
171	46										
171	100										
171	186										
172	236										
173	304										
173	366										
173	729										
177	1143										
180	28										
180	36										
180	44										
180	56										
180	95										
180	133										
180	205										
180	548										
183	804										
188	26										
188	46										
188	84										
188	102										
188	123										
188	150										
188	553										
188	891										
192	1236										
194	1568										
196	65										
196	100										
196	135										
196	163										
196	205										
196	548										
197	922										
204	28										
204	35										
204	43										
204	75										
204	96										
204	116										
205	540										
211	677										
213	43										
213	58										
213	108										
213	132										
213	167										
213	216										
213	274										
214	421										
216	531										
218	657										
221	33										
221	40										
221	158										
221	194										
222	586										
229	26										
229	33										
229	40										
230	61										
230	94										
230	114										
230	213										
231	257										
231	421										
234	1017										
238	64										
238	110										
238	209										
239	261										
240	353										
243	451										
244	640										
244	924										
